cell_id,group
aabpjloi-1,Tumor2
aabpmhdi-1,Mast Cells
aacaaeko-1,Tumor2
aacaagdn-1,Smooth Muscle Cells
aacaianp-1,Tumor2
aacajbdg-1,Fibroblasts
aacamkja-1,Mast Cells
aacbilmi-1,Tumor2
aacbmhhn-1,Macrophages
aacbndle-1,Fibroblasts
aacbnlee-1,Tumor2
aacbpgag-1,Endothelial
aaccgmgo-1,Tumor2
aaccknhn-1,Mast Cells
aaccmeid-1,Tumor2
aaccmhoa-1,Tumor2
aaccndhi-1,Mast Cells
aaccomco-1,Tumor2
aaccophg-1,Tumor2
aaccopim-1,Tumor2
aaccpohj-1,Tumor2
aacdcejh-1,T Cells
aacdcfcd-1,Mast Cells
aacdgfmb-1,Mast Cells
aacdifkj-1,T Cells
aacdodpi-1,Plasma Cells
aacealoj-1,T Cells
aacebfac-1,T Cells
aacedmjp-1,T Cells
aaceenjm-1,T Cells
aaceibmc-1,T Cells
aacejbcl-1,Tumor2
aacekdlp-1,Tumor2
aacekhpe-1,Endothelial
aacepgne-1,Endothelial
aacfcpai-1,T Cells
aacfdpcb-1,Fibroblasts
aacfecpo-1,Mast Cells
aacfgakh-1,T Cells
aacfgmjp-1,Fibroblasts
aacfgnci-1,T Cells
aacfhgdc-1,T Cells
aacfngkp-1,Macrophages
aacgabhb-1,Macrophages
aacgdpof-1,Tumor1
aacgfbkk-1,Tumor1
aacgmfbl-1,T Cells
aacgpgfg-1,Tumor1
aachaaof-1,Macrophages
aachcegb-1,Macrophages
aachddid-1,Smooth Muscle Cells
aachdejj-1,Tumor2
aachfaki-1,Fibroblasts
aachfdfa-1,Smooth Muscle Cells
aachgabk-1,Tumor2
aachglho-1,Tumor2
aachhjlf-1,Tumor2
aachhocl-1,T Cells
aachjlih-1,Tumor2
aachnngp-1,Mast Cells
aachoafl-1,Smooth Muscle Cells
aacibcch-1,Smooth Muscle Cells
aacicand-1,Tumor2
aacifpgo-1,Tumor2
aacioegf-1,Mast Cells
aacipofi-1,Tumor2
aacjabno-1,Mast Cells
aacjchjm-1,Tumor2
aacjdinj-1,Tumor2
aacjegeh-1,Tumor2
aacjfcpm-1,Tumor1
aacjflfo-1,Tumor2
aacjhckh-1,Tumor2
aacjlcbn-1,Tumor2
aacjocfj-1,Tumor2
aackbbee-1,Tumor2
aackdmep-1,Tumor2
aackjoaj-1,DCs
aackkbka-1,Macrophages
aacknpej-1,T Cells
aackoejb-1,T Cells
aackphph-1,T Cells
aackpkch-1,T Cells
aaclalmb-1,Tumor1
aaclbdkk-1,Tumor3
aaclbdng-1,Tumor3
aacldjil-1,Tumor1
aaclebhh-1,Tumor2
aacleonj-1,Tumor2
aaclepoo-1,Tumor2
aaclgegj-1,Tumor1
aaclijho-1,Macrophages
aacljlgp-1,Adipocytes
aaclmfpb-1,Tumor1
aacmbjhd-1,Macrophages
aacmejdh-1,Mast Cells
aacmeoic-1,T Cells
aacmfgel-1,T Cells
aacmfhjd-1,Macrophages
aacmgehk-1,Tumor2
aacmhdal-1,T Cells
aacmipla-1,Macrophages
aacmjcbj-1,Endothelial
aacmjelo-1,T Cells
aacmkaha-1,Mast Cells
aacmkhig-1,Mast Cells
aacmllii-1,T Cells
aacmnpfp-1,Macrophages
aacmphkp-1,Smooth Muscle Cells
aacnbgdp-1,Tumor2
aacnbkpe-1,Macrophages
aacnbmch-1,T Cells
aacnclcl-1,Smooth Muscle Cells
aacndmei-1,T Cells
aacngonj-1,Tumor3
aacnighb-1,Mast Cells
aacnmomh-1,Macrophages
aacnncik-1,T Cells
aacoacfc-1,Macrophages
aacodicm-1,Mast Cells
aacogape-1,Adipocytes
aacognpb-1,Tumor2
aacohjck-1,T Cells
aacojbac-1,Mast Cells
aacojipm-1,Tumor2
aacoknjc-1,T Cells
aacompfp-1,Tumor2
aaconlmj-1,Tumor2
aacookle-1,Tumor2
aacpcggg-1,Tumor2
aacpclne-1,T Cells
aacpemgm-1,T Cells
aacpfcgm-1,T Cells
aacpfjig-1,T Cells
aacpgcej-1,T Cells
aacpgnlk-1,Tumor1
aacpgoda-1,Tumor1
aacphnkh-1,Tumor1
aacpjpaf-1,Tumor1
aacpliol-1,Tumor1
aadaedgn-1,Tumor1
aadajckb-1,T Cells
aadaklnl-1,Tumor1
aadalahh-1,Tumor3
aadalmpc-1,T Cells
aadalomm-1,Tumor1
aadbajjg-1,Tumor1
aadbcejp-1,T Cells
aadbfkbd-1,B Cells
aadbfopj-1,Plasma Cells
aadbheol-1,T Cells
aadbihjc-1,Tumor1
aadbljnk-1,T Cells
aadblnpc-1,B Cells
aadbopeo-1,Tumor1
aadcbffp-1,Tumor1
aadcbljk-1,Tumor1
aadccjnp-1,Tumor1
aadcegnb-1,Tumor1
aadchaon-1,Tumor1
aadcjaaf-1,Tumor1
aadcmghk-1,Tumor1
aadcndbh-1,Tumor1
aadcnemc-1,Tumor2
aadcnkoc-1,T Cells
aadcokbj-1,Tumor1
aadcpjpk-1,Tumor1
aadcpmen-1,Tumor1
aaddbccc-1,Tumor2
aaddegkn-1,Tumor1
aaddhjng-1,Tumor2
aaddinla-1,Tumor1
aaddmejn-1,Tumor1
aaddmiob-1,Tumor1
aaddnndd-1,Tumor1
aaddpkgh-1,Tumor1
aadeaolj-1,T Cells
aadecdpc-1,Tumor1
aadeckkn-1,Tumor1
aadeckln-1,Tumor1
aadeednh-1,Tumor1
aadejijh-1,T Cells
aadekmhl-1,Tumor1
aadepajm-1,Tumor3
aadfabpl-1,Tumor1
aadfckae-1,Tumor1
aadffpcn-1,Tumor1
aadfimll-1,Tumor1
aadfmmbj-1,Tumor1
aadfpdoo-1,Tumor1
aadfpiad-1,Tumor2
aadgapoi-1,Tumor2
aadgbddh-1,Tumor1
aadgfcgd-1,Tumor1
aadgfikn-1,Tumor1
aadghgej-1,T Cells
aadgijdh-1,Tumor1
aadgjndp-1,Tumor1
aadgknbe-1,Macrophages
aadgoepk-1,Tumor1
aadgomem-1,Tumor2
aadgonen-1,Tumor1
aadhaaeo-1,Macrophages
aadhahod-1,T Cells
aadhcecn-1,T Cells
aadhfapo-1,Tumor1
aadhfffc-1,Tumor1
aadhgmej-1,Tumor1
aadhhied-1,Tumor2
aadhkkdp-1,Macrophages
aadhlobi-1,Tumor1
aadhmcmo-1,Macrophages
aadhomkg-1,Macrophages
aadhpbga-1,Tumor1
aadhplkc-1,Tumor1
aadiaibf-1,Tumor1
aadialnk-1,Tumor1
aadicipb-1,Tumor1
aadicjkl-1,Tumor1
aadicmoa-1,Tumor1
aadilnkl-1,Macrophages
aadinhgh-1,Tumor2
aadinnhn-1,Tumor1
aadipoln-1,Tumor1
aadjanpk-1,Macrophages
aadjdmpe-1,Tumor1
aadjfefm-1,T Cells
aadjfilm-1,Tumor1
aadjgmen-1,Tumor1
aadjimjb-1,Tumor3
aadjkghp-1,Macrophages
aadjkjej-1,T Cells
aadjldlh-1,Tumor1
aadjmoae-1,Tumor1
aadjoohf-1,Tumor1
aadjpbkb-1,Tumor1
aadjpkig-1,Tumor1
aadkanhb-1,Tumor1
aadkaolg-1,Tumor1
aadkapbg-1,Tumor1
aadkcgmj-1,Tumor1
aadkdfnp-1,Tumor3
aadkdipb-1,Tumor3
aadkemdj-1,Tumor1
aadkfoeg-1,Tumor1
aadkibhd-1,Tumor1
aadkkmgk-1,Tumor3
aadkldjh-1,Tumor1
aadknbdc-1,Tumor2
aadknjhc-1,Tumor2
aadldado-1,T Cells
aadldekl-1,Endothelial
aadldijo-1,T Cells
aadlekap-1,T Cells
aadlhflj-1,Tumor1
aadlhnlp-1,Mast Cells
aadlknfl-1,T Cells
aadlnknp-1,Tumor1
aadlomlh-1,Tumor2
aadmbhel-1,Tumor2
aadmcmin-1,Tumor2
aadmebhk-1,Tumor2
aadmfmnn-1,Macrophages
aadmglnb-1,Fibroblasts
aadmhnom-1,T Cells
aadmkjnl-1,T Cells
aadmndep-1,Smooth Muscle Cells
aadnagog-1,Plasma Cells
aadnbbmp-1,T Cells
aadnbcng-1,Tumor2
aadneejh-1,T Cells
aadnemoo-1,T Cells
aadnjghi-1,T Cells
aadnlagg-1,T Cells
aadnlmda-1,T Cells
aadnmedp-1,Tumor2
aadnmjoa-1,T Cells
aadnncob-1,Tumor2
aadnojcj-1,Tumor1
aadocbcg-1,Mast Cells
aadocinj-1,T Cells
aadofddj-1,Tumor1
aadogdpp-1,T Cells
aadohemd-1,Tumor1
aadoihja-1,Tumor1
aadolhnc-1,Tumor1
aadolnck-1,Tumor3
aadomgfe-1,Tumor1
aadomkaj-1,Tumor1
aadonbml-1,Smooth Muscle Cells
aadoplgm-1,Tumor2
aadpamod-1,Tumor2
aadpbpcg-1,Tumor2
aadpfbig-1,Tumor1
aadpgboj-1,Tumor3
aadphiih-1,Tumor1
aadphimd-1,Tumor1
aadpjbig-1,Tumor1
aadpjhol-1,Tumor1
aadpjkkh-1,Tumor1
aadpnipd-1,Tumor1
aadpnofo-1,Tumor1
aadpoanh-1,Tumor1
aadpploe-1,Tumor1
aaeaajnj-1,Tumor1
aaeaakob-1,Tumor3
aaeabpce-1,T Cells
aaeackgi-1,Mast Cells
aaeafcmn-1,Tumor1
aaeagped-1,Tumor1
aaeajkie-1,Tumor1
aaeampjl-1,Tumor1
aaeanfeh-1,Tumor1
aaeannie-1,Tumor1
aaebdakc-1,Tumor1
aaebgofk-1,Tumor3
aaebhjop-1,Tumor1
aaebipid-1,Tumor3
aaebjpmo-1,Tumor1
aaebkeop-1,Tumor3
aaebkpmn-1,T Cells
aaeboeli-1,T Cells
aaecaaab-1,T Cells
aaecanpj-1,T Cells
aaecbamd-1,T Cells
aaecdgok-1,Adipocytes
