SYMBOL,Log2FC
MS4A4A,5.139788169831952
FSCN1,4.478395005865945
ADAMTS9,3.9090857694562744
SH2D3C,5.922001657341561
TFPI,4.519036990363292
SLC1A3,4.972042339841155
VSTM4,5.167871674250833
MEIS1,4.089635402500375
CXCL12,4.4221267862191995
GGT5,4.604671274192626
TRBC2,4.731969082450673
OLR1,4.947652896142675
HACD4,5.168439553
PCDH12,5.391683372672615
CERCAM,3.779612605587627
TMEM158,4.0762965622945995
CCL5,4.512125863178495
NES,3.5952390590497867
PALLD,3.4004461945231768
LINGO1,5.728008895937418
GPX8,4.8302386786575955
TMEM119,4.861011027452412
FLT1,3.714806888289976
ENPEP,5.404394424422168
TNFAIP2,4.046042921284933
DDX3Y,5.203772626
ARHGAP29,4.245592801451567
MYO1F,4.876358991785848
PLPP1,3.465357006
F2RL2,4.819431923701012
CD300A,4.628837585323379
EDIL3,3.686981627677363
CD37,4.731375747035816
CAVIN1,3.9129098796440926
ACTG2,3.663426899698466
IKZF1,4.542358064597909
WNT2,4.316931583171829
GIMAP4,4.424955746904484
CD209,5.238261002142231
EFEMP1,4.934074489642136
CDH13,3.7427320709673753
ADGRL2,5.277773207200717
TANC2,4.571504410257426
DDR2,4.099604574022907
EVI2B,4.606269828418103
GUCY1A1,4.611918678703335
ADAMTS4,4.602982641730595
PDE5A,3.8394376155040595
ABI3,4.917279247099157
LBH,3.434869718235581
TUBB6,4.996525998108893
DLG4,4.827844163517213
IL10RA,4.787233101312864
WWTR1,4.974860104488636
VSIG4,4.935557980817466
OLFML3,4.021670132939873
CLMP,4.597656698113395
TREM2,5.881359672844214
CD52,5.045990374617013
CYBRD1,4.434000886507491
VAMP5,3.979847256962263
CHST15,4.581772745711253
CYTH4,4.893432505144789
GLI3,5.182939122339774
SOX18,5.620747929277276
HCLS1,4.842358321
GJB2,4.421012783729976
TLR4,4.947880289167165
F3,3.2651425727595322
SCARF2,4.1478537806738744
COL16A1,4.094070373840715
PDZD2,4.539324004508277
TSPAN4,4.147696701350851
ST8SIA4,5.286665634105285
HCK,5.184481287
ZNF521,5.302687651829626
GJA4,5.980895346395129
ITGBL1,4.983318008661985
PREX2,5.208934330872719
MFAP4,4.6695364932179535
BLVRA,4.471968736706511
SPIRE1,4.904928143982618
CPQ,3.7856292156102747
TRPA1,4.905405146810866
GPRC5B,4.957562842564504
NFIB,4.906488657970234
SYNPO,3.664214784072201
SPECC1,4.069957917723908
NCF2,3.9564662456308324
ALOX5AP,4.862181571
EGFLAM,5.586454751723398
DCHS1,3.681786465272337
ZNF385A,4.168904014216806
DENND2A,4.504390214398889
HIGD1B,5.249576315370065
CCL18,5.312971396658574
LOXL1,3.5930375718070677
EBF1,5.864286159485274
ROBO4,4.644260753
KIFC3,4.234469422979856
BMP1,3.4311831218600117
GASK1B,4.14916211
F2R,4.691243654531522
TFEC,4.417333480129667
PLEK,5.144971272140754
EIF1AY,4.839993246183328
EMCN,5.893432505
PCDH7,4.524198695
COL14A1,4.361286702867081
NCKAP1L,4.819431923701012
KLHL6,5.3504775309452075
DUSP1,3.297457011701215
FILIP1L,3.152917843897512
PLK2,4.064544421537544
SLIT3,5.982437511203533
CRMP1,4.812512509761221
CD109,5.042810129183015
EPHA3,5.492069942763022
CMPK2,3.6521922558229876
GBP1,3.5773571365028647
IGFBP6,4.559013466074229
HSPA12B,5.1881757707059215
PIEZO2,5.239882919166221
CD86,4.927648220482702
SOX5,5.001492251002242
MMP1,4.345944709842296
GPC6,5.182939122339774
SIGLEC1,5.095066366314439
VSIR,4.7007874272023935
APBB1IP,4.823043177253392
PDE10A,4.636795870509147
MCC,4.864286159485274
SEC14L1,3.319166587555137
LATS2,3.8684861480145583
XAF1,3.3378709208641917
ICAM1,3.555621368650772
TDRP,5.686981627677363
KIRREL1,3.2240778171332605
FNDC1,4.932251754035317
MARCO,4.848344616
C1orf54,3.7059897424444466
MAST4,4.530862425760081
EXOC3L2,5.451922794504753
SLC37A2,4.259560403942686
JAZF1,4.826318309286251
CDK14,4.462798150814927
RAC2,5.206219946175683
NLGN2,4.548784333757343
TSHZ3,4.179186987478667
EHD3,4.779099829665794
ITGAM,5.681928399951076
ARHGAP15,4.982437511203533
TRPS1,4.342022564
PRR16,4.819431923701012
IFI6,3.0652252592287494
PRDM1,3.178493217308582
PRKAR2B,5.651231603
PLPP4,4.862735707921873
ADAM28,4.311984489
ECM2,5.246104123463259
RASSF2,3.909826943395458
SPRY4,3.3679710161722944
IFIT3,3.5336362246669837
CTSD,3.1059466888232876
STC1,6.195995275
RSAD2,4.942760217508358
CXCL14,2.972245193
ARHGAP31,4.046589293206209
THEMIS2,4.236840327442604
SELENOM,3.0718709017940076
NPR1,4.959774999973486
SIGLEC10,4.823043177253392
DAAM2,4.847138852870854
FRMD6,4.847138852870854
PILRA,4.991043301771212
DIO2,4.6772990742800244
ITGA8,4.749042595809614
PPP1R14A,3.543215365826003
DZIP1,4.349111988920978
EPAS1,2.9658882383179286
FYB1,4.7894094406015615
CD2,4.5814884988300495
ETS1,2.999598062361717
TAFA5,4.681928399951076
SGCE,4.662652298315623
IFIT1,3.600533458868959
ARL4C,3.1789934799951904
GNG11,5.121701492817906
FRY,4.632904954921571
FGR,5.2373869063621505
B2M,2.7877292087625576
FLT4,5.271944128398519
CRISPLD2,3.5715044102574267
DPYSL3,3.4598590544285175
HES4,4.168745240757019
PIK3AP1,4.1772254711453805
ARHGDIB,3.125972882
LST1,4.672108351195831
CAVIN3,3.8487326976739746
MAFB,4.610423399549729
COL4A5,4.893432505144789
MCTP1,3.8205319580973414
PSAP,2.823188164444196
SLCO2B1,3.156466910978583
ITM2A,4.647855296387542
CD48,5.014447906106155
BHLHE41,4.558565354549929
IFI44,3.1431393793315907
ADAM19,2.9777610239940606
SGCB,3.1269629166684996
RASGRF2,5.004463817533534
TRO,5.8302386786575955
IL4I1,4.490367647532022
FZD4,3.5247101987784855
FOLH1,5.360000305063714
RHOJ,5.067930236376926
ELMO1,4.735003142540306
GIMAP8,4.823043177253392
MOXD1,3.917680051391466
SAMSN1,5.395932845673973
HAVCR2,5.176366468416288
GAS7,4.663002764742924
PHLDA3,3.9194277136777336
PLEKHO2,3.360000305063715
NFATC1,4.749841652
KYNU,5.478395005865946
CALHM6,4.774788008646171
SPOCK1,4.759131413433199
SYDE1,4.416529750281086
FERMT2,4.489042250065454
GYPC,5.399323434874747
TGFB1,3.3653818283974903
TMTC1,4.847138852870854
DZIP1L,5.234469422979856
FZD8,4.416529750281086
GJC1,5.312971396658574
GUCY1B1,4.907107442041866
PTAFR,4.378859332315031
MMP14,2.7885017393130873
SAMD9,3.7414294116997393
FYN,4.093457113452782
PDLIM7,3.226745606989179
CA2,5.002843722
KCNMA1,5.280455628254036
CHI3L1,4.734734759125731
