SYMBOL,Log2FC
TAFA5,-5.303200563
ALOX5,-4.281134759
PCDH17,-5.490676538
MARCO,-4.861920161
TNS2,-3.922642747
FILIP1L,-3.475485975
SAMD9,-4.395945696
MMP19,-5.226916978
HACD4,-5.900966029
SLCO2A1,-4.054565239
OLFML2A,-3.897396422
HAVCR2,-5.284504469
IGSF6,-4.879028583
FGD5,-5.043170484
S1PR1,-5.307430866
BLVRA,-4.634294994
IKZF1,-4.528108345
BMP1,-3.669841435
SSC5D,-5.671223698
CLEC7A,-5.137318392
TNFSF4,-5.320593925
MMRN2,-5.419905595
C2orf74,-5.332729625
CYGB,-4.724416637
TSPAN4,-4.444015099
CD2,-4.966156265
TIMP1,-3.146974031
ARHGEF6,-5.306012287
TNFAIP2,-4.016817127
ESAM,-4.253926692
LST1,-4.651064895
CDH6,-5.068371038
MS4A4A,-4.871973826
PDE5A,-4.08777357
AFAP1L2,-4.831331841
KIFC3,-4.781673955
TFPI,-4.964814847
DPYD,-4.898446037
ZNF385A,-4.125672316
FZD8,-5.074602992
FMNL3,-4.886473395
NES,-3.651338004
FRZB,-4.856099746
PDLIM7,-3.60893942
PHLDA3,-4.483408538
DIO2,-5.309379138
MMP14,-3.144110972
TSHZ3,-4.807583238
CHN1,-6.390299133
DDX3Y,-5.241881949
CSPG4,-5.33829183
CDH13,-3.869899497
COPZ2,-4.690469305
COL8A2,-5.970395879
LAYN,-5.490676538
IFI44,-3.474519446
ADAMTS4,-4.588761538
DCLK2,-4.776049406
MYO1F,-4.620344183
DCHS1,-3.932752159
THEMIS2,-4.249397033
SLC1A3,-5.307430866
CYTH4,-5.01674535
CIITA,-5.229881218
TMEM140,-4.771210849
BASP1,-3.668496264
OLFML3,-4.224674269
INSC,-5.337393514
ADAM19,-3.327669442
GBP1,-3.840812894
SYDE1,-5.452213916
MZB1,-5.642886752
SPIRE1,-5.180481405
ESM1,-5.663387204
ICAM1,-3.791453817
TREM2,-5.786477605
CRISPLD2,-4.023976919
IFIT2,-4.396210096
ATP10A,-5.78296882
CHST15,-4.676053616
MFGE8,-3.269988927
ALOX5AP,-4.806131287
NOTCH3,-3.170694529
AFAP1L1,-4.942363154
SLA,-4.569255718
FERMT2,-5.164458143
EDNRB,-5.023976919
GNG2,-4.816534839
PRDM1,-3.436300034
LMOD1,-4.807583238
CD300A,-4.627798447
RBP4,-5.708475093
S100A9,-4.114297526
TSPAN2,-4.091091115
NCF2,-3.921765308
ABI3,-5.267902502
DLG4,-4.873355056
RAC2,-5.137039584
DDX60L,-4.135008231
SOX18,-5.015756412
DOK2,-5.031796424
ARHGEF15,-6.954714257
GPC6,-5.157002338
SEPTIN4,-5.009477349
SH2D3C,-5.99360327
JCHAIN,-3.78720058
GPR68,-5.698576632
RUNX1T1,-5.949976338
AMIGO2,-3.97869604
SLIT3,-5.551714551
BCAT1,-5.147359335
